112 58 94
98 82 94
185 47 -79
306 48 96
106 57 85
113 52 73
28 59 137
113 58 79
135 70 79
110 63 68
118 61 77
128 68 110
128 75 69
110 67 65
293 55 59
130 57 100
132 75 94
126 53 80
102 72 84
107 86 109
29 50 -79
120 57 78
103 51 66
125 76 90
326 53 110
3 57 133
123 49 78
102 86 -9
32 60 126
115 68 94
110 57 75
102 64 86
45 80 147
59 87 170
120 60 96
133 69 87
110 70 46
120 61 94
236 87 -168
106 54 67
110 73 64
186 69 -175
312 48 75
337 57 117
192 82 -170
119 47 -100
120 54 93
110 45 88
280 73 -84
202 85 -173
100 87 -11
98 87 -3
204 82 -158
107 77 97
281 68 -103
23 45 169
276 29 53
81 86 66
301 88 -104
304 11 97
136 60 65
268 81 -116
140 90 84
85 13 -106
120 56 95
140 76 71
135 89 97
128 62 172
224 47 -97
60 40 -79
13 18 150
350 17 159
302 38 72
79 87 112
104 58 81
95 68 104
129 77 133
143 54 135
310 27 43
108 77 98
88 74 122
103 81 96
321 23 46
98 73 97
327 37 110
121 65 122
146 87 83
76 74 87
88 52 111
347 6 102
280 24 84
111 67 120
108 63 81
297 25 93
114 80 116
124 66 133
128 74 98
100 66 119
145 54 106
123 86 124
149 57 104
342 28 122
123 76 131
106 69 128
89 63 104
275 7 45
106 84 75
131 72 114
90 50 122
124 71 118
82 72 118
109 67 118
97 68 132
331 18 42
75 79 99
139 72 135
147 82 127
318 10 129
133 74 106
138 81 75
95 75 95
154 78 135
333 23 98
135 78 123
139 60 132
303 9 52
130 72 116
320 40 126
84 78 109
113 77 112
78 56 83
131 85 127
147 66 131
109 70 81
88 62 124
80 86 92
138 57 120
82 51 130
281 29 95
101 50 80
314 15 122
75 83 103
104 59 79
111 84 112
316 15 114
123 64 110
279 22 97
109 66 103
339 25 98
121 64 101
96 62 71
146 56 111
108 76 99
148 72 85
136 74 102
109 59 56
333 13 117
306 30 82
97 62 47
89 81 108
84 89 97
284 20 66
136 70 125
107 72 77
154 85 130
94 78 114
290 39 74
83 73 131
331 34 113
91 82 114
319 29 99
106 53 52
344 36 67
145 79 134
142 75 110
143 76 114
308 12 124
80 87 97
126 72 97
140 54 130
147 76 103
261 40 54
122 86 92
129 70 87
111 83 102
102 86 107
132 72 117
338 29 108
127 54 110
319 26 115
104 57 79
342 31 73
315 36 103
140 61 120
294 13 71
127 80 120
81 88 71
328 21 44
96 88 134
292 38 132
109 82 73
109 61 112
154 58 120
146 72 119
155 64 90
148 87 117
349 26 135
145 71 119
100 71 107
84 70 94
98 74 92
306 13 121
137 52 96
334 15 103
300 19 71
112 64 82
139 55 131
331 19 49
141 72 100
154 69 117
106 70 120
113 78 119
118 69 77
148 63 52
340 25 116
313 12 98
131 51 100
120 75 124
86 85 106
319 24 114
128 78 82
79 74 93
102 88 96
131 63 83
93 59 57
144 71 101
123 79 135
323 36 114
108 84 103
120 69 119
125 64 84
86 89 126
141 62 110
295 19 103
320 40 70
128 62 127
294 28 55
122 80 76
147 58 129
292 35 66
94 72 129
119 68 99
127 57 120
121 64 108
130 74 109
124 83 113
301 22 69
117 82 81
128 75 121
143 71 125
133 64 93
283 36 39
280 19 51
110 80 100
317 33 77
129 74 117
  
  
  
  
  
